ISO,FILENAME,MEAN_VALUE
SWE,h3,100.0
SWE,t5,0.0
SWE,t3,0.0
SWE,t2,0.0
SWE,a3,0.0
SWE,cr2,72.0
SWE,cr4,72.0
SWE,p2,100.0
SWE,a1,100.0
SWE,t6,0.0
SWE,h2,100.0
SWE,cv5b,12.0
SWE,a2,0.0
SWE,h1,100.0
SWE,t4,0.0
SWE,h5,100.0
SWE,cr1,5.0
SWE,h6,
SWE,h4,100.0
SWE,t1,100.0
RWA,h3,100.0
RWA,t5,0.0
RWA,t3,0.0
RWA,t2,0.0
RWA,a3,0.0
RWA,cr2,5.0
RWA,cr4,11.0
RWA,p2,100.0
RWA,a1,100.0
RWA,t6,0.0
RWA,h2,100.0
RWA,cv5b,12.0
RWA,a2,0.0
RWA,h1,100.0
RWA,t4,0.0
RWA,h5,100.0
RWA,cr1,5.0
RWA,h6,
RWA,h4,100.0
RWA,t1,100.0
CHN,h3,100.0
CHN,t5,0.0
CHN,t3,0.0
CHN,t2,0.0
CHN,a3,0.0
CHN,cr2,33.0
CHN,cr4,33.0
CHN,p2,100.0
CHN,a1,100.0
CHN,t6,0.0
CHN,h2,100.0
CHN,cv5b,12.0
CHN,a2,0.0
CHN,h1,100.0
CHN,t4,0.0
CHN,h5,100.0
CHN,cr1,5.0
CHN,h6,
CHN,h4,100.0
CHN,t1,100.0
DNK,h3,100.0
DNK,t5,0.0
DNK,t3,0.0
DNK,t2,0.0
DNK,a3,0.0
DNK,cr2,72.0
DNK,cr4,72.0
DNK,p2,100.0
DNK,a1,100.0
DNK,t6,0.0
DNK,h2,100.0
DNK,cv5b,12.0
DNK,a2,0.0
DNK,h1,100.0
DNK,t4,0.0
DNK,h5,100.0
DNK,cr1,5.0
DNK,h6,
DNK,h4,100.0
DNK,t1,100.0
BTN,h3,100.0
BTN,t5,0.0
BTN,t3,0.0
BTN,t2,0.0
BTN,a3,0.0
BTN,cr2,33.0
BTN,cr4,33.0
BTN,p2,100.0
BTN,a1,100.0
BTN,t6,0.0
BTN,h2,100.0
BTN,cv5b,12.0
BTN,a2,0.0
BTN,h1,100.0
BTN,t4,0.0
BTN,h5,100.0
BTN,cr1,5.0
BTN,h6,
BTN,h4,100.0
BTN,t1,100.0
USA,h3,100.0
USA,t5,0.0
USA,t3,0.0
USA,t2,0.0
USA,a3,0.0
USA,cr2,5.0
USA,cr4,72.0
USA,p2,100.0
USA,a1,100.0
USA,t6,0.0
USA,h2,100.0
USA,cv5b,12.0
USA,a2,0.0
USA,h1,100.0
USA,t4,0.0
USA,h5,100.0
USA,cr1,5.0
USA,h6,
USA,h4,100.0
USA,t1,100.0
COD,h3,100.0
COD,t5,0.0
COD,t3,0.0
COD,t2,0.0
COD,a3,0.0
COD,cr2,5.0
COD,cr4,11.0
COD,p2,100.0
COD,a1,100.0
COD,t6,0.0
COD,h2,100.0
COD,cv5b,12.0
COD,a2,0.0
COD,h1,100.0
COD,t4,0.0
COD,h5,100.0
COD,cr1,5.0
COD,h6,
COD,h4,100.0
COD,t1,100.0
NPL,h3,100.0
NPL,t5,0.0
NPL,t3,0.0
NPL,t2,0.0
NPL,a3,0.0
NPL,cr2,33.0
NPL,cr4,33.0
NPL,p2,100.0
NPL,a1,100.0
NPL,t6,0.0
NPL,h2,100.0
NPL,cv5b,12.0
NPL,a2,0.0
NPL,h1,100.0
NPL,t4,0.0
NPL,h5,100.0
NPL,cr1,5.0
NPL,h6,
NPL,h4,100.0
NPL,t1,100.0
BHS,h3,100.0
BHS,t5,0.0
BHS,t3,0.0
BHS,t2,0.0
BHS,a3,0.0
BHS,cr2,10.0
BHS,cr4,22.0
BHS,p2,100.0
BHS,a1,100.0
BHS,t6,0.0
BHS,h2,100.0
BHS,cv5b,12.0
BHS,a2,0.0
BHS,h1,100.0
BHS,t4,0.0
BHS,h5,100.0
BHS,cr1,5.0
BHS,h6,
BHS,h4,100.0
BHS,t1,100.0
BIH,h3,100.0
BIH,t5,0.0
BIH,t3,0.0
BIH,t2,0.0
BIH,a3,0.0
BIH,cr2,36.0
BIH,cr4,36.0
BIH,p2,100.0
BIH,a1,100.0
BIH,t6,0.0
BIH,h2,100.0
BIH,cv5b,12.0
BIH,a2,0.0
BIH,h1,100.0
BIH,t4,0.0
BIH,h5,100.0
BIH,cr1,5.0
BIH,h6,
BIH,h4,100.0
BIH,t1,100.0
CYP,h3,100.0
CYP,t5,0.0
CYP,t3,0.0
CYP,t2,0.0
CYP,a3,0.0
CYP,cr2,72.0
CYP,cr4,72.0
CYP,p2,100.0
CYP,a1,100.0
CYP,t6,0.0
CYP,h2,100.0
CYP,cv5b,12.0
CYP,a2,0.0
CYP,h1,100.0
CYP,t4,0.0
CYP,h5,100.0
CYP,cr1,5.0
CYP,h6,
CYP,h4,100.0
CYP,t1,100.0
RUS,h3,100.0
RUS,t5,0.0
RUS,t3,0.0
RUS,t2,0.0
RUS,a3,0.0
RUS,cr2,36.0
RUS,cr4,36.0
RUS,p2,100.0
RUS,a1,100.0
RUS,t6,0.0
RUS,h2,100.0
RUS,cv5b,12.0
RUS,a2,0.0
RUS,h1,100.0
RUS,t4,0.0
RUS,h5,100.0
RUS,cr1,5.0
RUS,h6,
RUS,h4,100.0
RUS,t1,100.0
TCD,h3,100.0
TCD,t5,0.0
TCD,t3,0.0
TCD,t2,0.0
TCD,a3,0.0
TCD,cr2,5.0
TCD,cr4,11.0
TCD,p2,100.0
TCD,a1,100.0
TCD,t6,0.0
TCD,h2,100.0
TCD,cv5b,12.0
TCD,a2,0.0
TCD,h1,100.0
TCD,t4,0.0
TCD,h5,100.0
TCD,cr1,5.0
TCD,h6,
TCD,h4,100.0
TCD,t1,100.0
SWZ,h3,100.0
