index,riskID,level,sex
0,NC_mstRFTobaccoPolicy,1,Both
1,NC_mstRFTobaccoPolicy,1,Male
2,NC_mstRFTobaccoPolicy,1,Female
3,NC_mstRFTobaccoPolicy,2,Both
4,NC_mstRFTobaccoPolicy,2,Male
5,NC_mstRFTobaccoPolicy,2,Female
6,NC_mstRFTobaccoPolicy,3,Both
7,NC_mstRFTobaccoPolicy,3,Male
8,NC_mstRFTobaccoPolicy,3,Female
9,NC_mstRFTobaccoPolicy,4,Both
10,NC_mstRFTobaccoPolicy,4,Male
11,NC_mstRFTobaccoPolicy,4,Female
12,NC_mstRFTobaccoProtect,1,Both
13,NC_mstRFTobaccoProtect,1,Male
14,NC_mstRFTobaccoProtect,1,Female
15,NC_mstRFTobaccoProtect,2,Both
16,NC_mstRFTobaccoProtect,2,Male
17,NC_mstRFTobaccoProtect,2,Female
18,NC_mstRFTobaccoProtect,3,Both
19,NC_mstRFTobaccoProtect,3,Male
20,NC_mstRFTobaccoProtect,3,Female
21,NC_mstRFTobaccoProtect,4,Both
22,NC_mstRFTobaccoProtect,4,Male
23,NC_mstRFTobaccoProtect,4,Female
24,NC_mstRFTobaccoQuitBrief,1,Both
25,NC_mstRFTobaccoQuitBrief,1,Male
26,NC_mstRFTobaccoQuitBrief,1,Female
27,NC_mstRFTobaccoQuitBrief,2,Both
28,NC_mstRFTobaccoQuitBrief,2,Male
29,NC_mstRFTobaccoQuitBrief,2,Female
30,NC_mstRFTobaccoQuitBrief,3,Both
31,NC_mstRFTobaccoQuitBrief,3,Male
32,NC_mstRFTobaccoQuitBrief,3,Female
33,NC_mstRFTobaccoQuitBrief,4,Both
34,NC_mstRFTobaccoQuitBrief,4,Male
35,NC_mstRFTobaccoQuitBrief,4,Female
36,NC_mstRFTobaccoQuitmCessation,1,Both
37,NC_mstRFTobaccoQuitmCessation,1,Male
38,NC_mstRFTobaccoQuitmCessation,1,Female
39,NC_mstRFTobaccoQuitmCessation,2,Both
40,NC_mstRFTobaccoQuitmCessation,2,Male
41,NC_mstRFTobaccoQuitmCessation,2,Female
42,NC_mstRFTobaccoQuitmCessation,3,Both
43,NC_mstRFTobaccoQuitmCessation,3,Male
44,NC_mstRFTobaccoQuitmCessation,3,Female
45,NC_mstRFTobaccoQuitmCessation,4,Both
46,NC_mstRFTobaccoQuitmCessation,4,Male
47,NC_mstRFTobaccoQuitmCessation,4,Female
48,NC_mstRFTobaccoWarnLabel,1,Both
49,NC_mstRFTobaccoWarnLabel,1,Male
50,NC_mstRFTobaccoWarnLabel,1,Female
51,NC_mstRFTobaccoWarnLabel,2,Both
52,NC_mstRFTobaccoWarnLabel,2,Male
53,NC_mstRFTobaccoWarnLabel,2,Female
54,NC_mstRFTobaccoWarnLabel,3,Both
55,NC_mstRFTobaccoWarnLabel,3,Male
56,NC_mstRFTobaccoWarnLabel,3,Female
57,NC_mstRFTobaccoWarnLabel,4,Both
58,NC_mstRFTobaccoWarnLabel,4,Male
59,NC_mstRFTobaccoWarnLabel,4,Female
60,NC_mstRFTobaccoWarnMassMedia,1,Both
61,NC_mstRFTobaccoWarnMassMedia,1,Male
62,NC_mstRFTobaccoWarnMassMedia,1,Female
63,NC_mstRFTobaccoWarnMassMedia,2,Both
64,NC_mstRFTobaccoWarnMassMedia,2,Male
65,NC_mstRFTobaccoWarnMassMedia,2,Female
66,NC_mstRFTobaccoWarnMassMedia,3,Both
67,NC_mstRFTobaccoWarnMassMedia,3,Male
68,NC_mstRFTobaccoWarnMassMedia,3,Female
