diseaseID,association,id,active
17,treatment,93,1
17,treatment,94,1
17,treatment,96,1
17,treatment,93,1
17,treatment,94,1
17,treatment,96,1
1,treatment,26,0
1,treatment,27,0
1,treatment,88,0
1,treatment,1,1
1,treatment,112,1
1,treatment,111,1
1,treatment,113,1
1,treatment,114,1
1,treatment,115,1
1,treatment,116,1
1,treatment,117,1
1,treatment,26,0
1,treatment,27,0
1,treatment,88,0
1,treatment,1,1
1,treatment,112,1
1,treatment,111,1
1,treatment,113,1
1,treatment,114,1
1,treatment,115,1
1,treatment,116,1
1,treatment,117,1
16,treatment,68,1
16,treatment,69,1
16,treatment,70,1
16,treatment,71,1
16,treatment,99,1
16,treatment,68,1
16,treatment,69,1
16,treatment,70,1
16,treatment,71,1
16,treatment,99,1
4,treatment,75,1
4,treatment,76,1
4,treatment,53,1
4,treatment,55,1
4,treatment,12,1
4,treatment,75,1
4,treatment,76,1
4,treatment,53,1
4,treatment,55,1
4,treatment,12,1
12,treatment,13,1
15,treatment,53,1
15,treatment,55,1
15,treatment,12,1
15,treatment,53,1
15,treatment,55,1
15,treatment,12,1
3,treatment,8,1
3,treatment,9,1
3,treatment,8,1
3,treatment,9,1
9,treatment,49,1
9,treatment,50,1
9,treatment,49,1
9,treatment,50,1
5,treatment,7,1
5,treatment,7,1
6,treatment,14,1
6,treatment,16,1
6,treatment,17,1
6,treatment,14,1
6,treatment,16,1
6,treatment,17,1
10,treatment,51,1
10,treatment,51,1
11,treatment,51,1
11,treatment,52,1
11,treatment,51,1
11,treatment,52,1
13,treatment,58,0
13,treatment,59,0
13,treatment,56,1
13,treatment,57,1
13,treatment,60,1
13,treatment,61,1
13,treatment,62,1
13,treatment,58,0
13,treatment,59,0
13,treatment,56,1
13,treatment,57,1
13,treatment,60,1
13,treatment,61,1
13,treatment,62,1
14,treatment,66,0
14,treatment,67,0
14,treatment,63,1
14,treatment,64,1
14,treatment,65,1
14,treatment,110,1
14,treatment,66,0
14,treatment,67,0
14,treatment,63,1
14,treatment,64,1
14,treatment,65,1
14,treatment,110,1
1,prevention,2,0
1,prevention,45,0
1,prevention,46,0
1,prevention,47,0
1,prevention,48,0
1,prevention,24,0
1,prevention,41,0
1,prevention,42,0
1,prevention,43,0
1,prevention,44,0
1,prevention,100,0
1,prevention,101,0
1,prevention,102,0
1,prevention,103,0
1,prevention,104,0
1,prevention,105,0
1,prevention,108,0
1,prevention,106,1
1,prevention,107,1
1,prevention,109,1
1,prevention,2,0
1,prevention,45,0
1,prevention,46,0
1,prevention,47,0
1,prevention,48,0
1,prevention,24,0
1,prevention,41,0
1,prevention,42,0
1,prevention,43,0
1,prevention,44,0
1,prevention,100,0
1,prevention,101,0
1,prevention,102,0
1,prevention,103,0
1,prevention,104,0
1,prevention,105,0
1,prevention,108,0
1,prevention,106,1
1,prevention,107,1
1,prevention,109,1
