ISO,intervention,value
SWE,NC_mstARF_PrimaryPrevention,10.0
SWE,NC_mstARF_SecondaryPrevention,10.0
SWE,NC_mstARF_SecondaryPrevention,10.0
SWE,NC_mstRHD_ValveSurgery,10.0
SWE,NC_mstARF_PrimaryPrevention,12.0
SWE,NC_mstARF_SecondaryPrevention,12.0
SWE,NC_mstARF_SecondaryPrevention,12.0
SWE,NC_mstRHD_ValveSurgery,10.0
SWE,NC_mstTreatPostAcuteIHDComb,5.0
SWE,NC_mstTreatPostAcuteStrokeComb,5.0
SWE,NC_mstEliminateTransFats,5.0
SWE,NC_mstEliminateTransFats,5.0
SWE,NC_mstAspirin,5.0
SWE,NC_mstAspirin,5.0
SWE,NC_mstAspirinAspirinAndTrombolysis,5.0
SWE,NC_mstAspirinAspirinAndTrombolysis,5.0
SWE,NC_mstAspirinAndClopidro,5.0
SWE,NC_mstAspirinAndClopidro,5.0
SWE,NC_mstPCIAndAspirinAndClopidro,5.0
SWE,NC_mstPCIAndAspirinAndClopidro,5.0
SWE,NC_mstTreatMechanicalTrombStroke,5.0
SWE,NC_mstTreatMechanicalTrombStroke,5.0
SWE,NC_mstTreatIntravTrombStroke,5.0
SWE,NC_mstTreatIntravTrombStroke,5.0
SWE,NC_mstTreatStrokeAcuteAspirin,5.0
SWE,NC_mstMaxInterv,5.0
SWE,NC_mstTreatPostAcuteIHDComb,5.0
SWE,NC_mstTreatPostAcuteStrokeComb,5.0
SWE,NC_mstEliminateTransFats,5.0
SWE,NC_mstEliminateTransFats,5.0
SWE,NC_mstAspirin,5.0
SWE,NC_mstAspirin,5.0
SWE,NC_mstAspirinAspirinAndTrombolysis,5.0
SWE,NC_mstAspirinAspirinAndTrombolysis,5.0
SWE,NC_mstAspirinAndClopidro,5.0
SWE,NC_mstAspirinAndClopidro,5.0
SWE,NC_mstPCIAndAspirinAndClopidro,5.0
SWE,NC_mstPCIAndAspirinAndClopidro,5.0
SWE,NC_mstTreatMechanicalTrombStroke,5.0
SWE,NC_mstTreatMechanicalTrombStroke,5.0
SWE,NC_mstTreatIntravTrombStroke,5.0
SWE,NC_mstTreatIntravTrombStroke,5.0
SWE,NC_mstTreatStrokeAcuteAspirin,5.0
SWE,NC_mstMaxInterv,5.0
SWE,NC_mstStdGlycControl,20.0
SWE,NC_mstStdGlycControl,20.0
SWE,NC_mstStdGlycControl,20.0
SWE,NC_mstIntsvGlycControl,5.0
SWE,NC_mstIntsvGlycControl,5.0
SWE,NC_mstIntsvGlycControl,20.0
SWE,NC_mstRetinopathyScrn,10.0
SWE,NC_mstNeuropathyScr,10.0
SWE,NC_mstNephropathyScr,10.0
SWE,NC_mstStdGlycControl,20.0
SWE,NC_mstStdGlycControl,20.0
